feature,importance
AVG_mean,0.03216539445314183
SLG_mean,0.031093605854261543
OPS_mean,0.029659094751043637
OBP_mean,0.02051728701595526
hard_hit_percent_delta,0.01899629368779249
exit_velocity_avg_mean,0.012503885458243345
hard_hit_percent_mean,0.012437461594090432
BB_pct_delta,0.01242934642304554
AVG_delta,0.011717719580497537
exit_velocity_avg_delta,0.009597184042993645
Age_mean,0.007661788693264707
OPS_delta,0.007515437419486256
SLG_delta,0.007231491593884893
OBP_delta,0.006430712743259125
BB_pct_mean,0.003324463907089314
K_pct_mean,0.0016624521764553321
K_pct_delta,8.472735994389018e-05
Age_delta,0.0
