feature,importance
SLG_mean,0.22283540684479242
OPS_mean,0.1458397555433894
hard_hit_percent_mean,0.12733827420647686
BB_pct_mean,0.09985875742467602
exit_velocity_avg_mean,0.08147385533776447
OBP_mean,0.05373859728264515
hard_hit_percent_delta,0.0422915580964618
K_pct_mean,0.036213920480763
BB_pct_delta,0.03493885377083454
SLG_delta,0.03231457497435866
K_pct_delta,0.022927953846642115
OPS_delta,0.020012271931290296
OBP_delta,0.018805693528539186
AVG_delta,0.018731460431369824
AVG_mean,0.017456829281617913
exit_velocity_avg_delta,0.014261514279773735
Age_mean,0.010960722738604638
Age_delta,0.0
